mage,brate1,cum_brate1,brate2,cum_brate2,brate3,cum_brate3,brate4,cum_brate4,brate5,cum_brate5,brate6,cum_brate6
15,13.493841,.013493842,16.94207,.016942071,15.901977,.015901977,11.038923,.011038924,8.6866131,.0086866133,6.6995053,.0066995053
16,29.819893,.043313734,36.319435,.053261504,32.197399,.048099376,23.255127,.03429405,19.825954,.028512567,14.411939,.021111444
17,50.697899,.094011635,59.135193,.11239669,51.073746,.099173121,39.422905,.073716953,35.492992,.064005561,23.859932,.044971377
18,74.544075,.16855571,83.091934,.19548863,71.177391,.17035051,59.221775,.13293873,55.09874,.1191043,37.044003,.08201538
19,92.452896,.26100859,97.629364,.293118,89.214142,.25956467,81.707039,.21464577,74.529655,.19363396,54.237488,.13625287
20,104.32755,.36533615,103.58485,.39670286,98.069519,.35763419,94.041962,.30868772,81.443039,.27507699,63.347919,.19960079
21,112.19621,.47753236,107.23452,.50393736,102.16237,.45979655,99.114639,.40780237,81.78508,.35686207,67.73259,.26733339
22,115.83654,.59336889,111.48193,.61541933,106.19453,.56599104,104.42951,.51223189,84.832428,.4416945,72.937515,.34027088
23,113.45386,.70682275,111.90235,.72732168,106.92949,.67292058,104.47617,.61670804,86.379318,.52807385,77.236435,.41750732
24,110.01877,.81684154,111.87946,.83920109,109.65234,.78257287,103.95351,.72066158,89.449409,.61752325,81.425079,.49893239
25,108.98456,.92582607,112.54133,.95174247,112.49406,.89506698,103.78479,.82444638,92.944801,.71046805,86.025505,.5849579
26,110.46983,1.0362959,115.01414,1.0667566,115.48834,1.0105553,105.40754,.92985392,96.32563,.80679369,90.304161,.67526209
27,109.49119,1.1457871,116.00066,1.1827573,115.85873,1.1264141,107.91019,1.0377641,99.091003,.90588468,,
28,111.68748,1.2574745,117.34906,1.3001063,116.74174,1.2431558,111.21967,1.1489837,102.82824,1.0087129,,
29,109.75736,1.367232,118.76843,1.4188747,116.48157,1.3596374,113.26624,1.2622499,105.38759,1.1141005,,
30,105.56963,1.4728016,114.53316,1.5334079,110.86952,1.4705069,112.55117,1.3748012,106.58434,1.2206849,,
31,102.2671,1.5750687,110.34521,1.6437532,106.65202,1.5771589,110.37121,1.4851724,105.84633,1.3265312,,
32,94.759239,1.6698279,99.806427,1.7435596,99.510674,1.6766696,103.42954,1.5886019,,,,
33,85.919853,1.7557478,89.892159,1.8334517,91.599968,1.7682695,95.412743,1.6840147,,,,
34,77.732941,1.8334807,79.999222,1.913451,83.571915,1.8518414,86.014038,1.7700287,,,,
35,68.100227,1.9015809,69.18502,1.982636,74.080643,1.925922,76.256424,1.8462851,,,,
36,57.134308,1.9587153,57.890144,2.0405262,62.876221,1.9887983,64.287079,1.9105722,,,,
37,45.932812,2.004648,47.377777,2.087904,51.136921,2.0399354,,,,,,
38,36.068943,2.0407171,38.028431,2.1259322,40.409599,2.0803449,,,,,,
39,27.760015,2.0684769,29.982738,2.155915,31.565989,2.1119108,,,,,,
40,20.211826,2.0886889,22.178474,2.1780934,23.16926,2.1350801,,,,,,
41,13.896509,2.1025853,15.459491,2.193553,15.941532,2.1510217,,,,,,
42,9.0277519,2.111613,10.129758,2.2036827,,,,,,,,
43,5.5342116,2.1171474,6.1556726,2.2098384,,,,,,,,
44,3.2246389,2.1203721,3.5157373,2.2133541,,,,,,,,
